session,site,relief_cm,species_order,family,species,size_bin,size_bin_lengths,habitat,octocoral,stony,relief_cm.1,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,trophic_position,shape,SVC_date,SVC_area,SVC_max_depth,SVC_density,prey_date,prey_depth,prey_area,prey_density,SVC_prey_difference,total_density,log_difference,average_depth
141,BISC-P12a,42.166666666666664,Perciformes,Pomacentridae,threespot damselfish,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,13,neutral,0,herbivore,compressiform,2014-09-16,78.53981634,15,0.02546479089462052,2014-09-16,14.5,48,0.020833333333333332,0.004631457561287189,0.04629812422795385,0.1923773501010495,14.75
141,BISC-P12a,42.166666666666664,Perciformes,Lutjanidae,yellowtail snapper,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,schooling,86.3,colourful,0,carnivore,fusiform,2014-09-16,78.53981634,15,0.01273239544731026,2014-09-16,14.5,48,0.16666666666666666,-0.1539342712193564,0.1793990621139769,-2.502220208747892,14.75
141,BISC-P12a,42.166666666666664,Perciformes,Labridae,redband parrotfish,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,28,colourful,1,herbivore,fusiform,2014-09-16,78.53981634,15,0.01273239544731026,2014-09-16,14.5,48,0.125,-0.11226760455268973,0.13773239544731025,-2.216524234267741,14.75
141,BISC-P12a,42.166666666666664,Perciformes,Labridae,stoplight parrotfish,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,50,colourful,0,omnivore,fusiform,2014-09-16,78.53981634,15,0.01273239544731026,2014-09-16,14.5,48,0.041666666666666664,-0.028934271219356406,0.05439906211397692,-1.1336603025677703,14.75
141,BISC-P12a,42.166666666666664,Perciformes,Haemulidae,white grunt,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,78.53981634,15,0.658901464398306,2014-09-16,14.5,48,1.3333333333333333,-0.6744318689350273,1.9922347977316393,-0.7040965428160074,14.75
141,BISC-P12a,42.166666666666664,Perciformes,Labridae,striped parrotfish,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,35,colourful,0,herbivore,fusiform,2014-09-16,78.53981634,15,0.04774648292741347,2014-09-16,14.5,48,0.14583333333333334,-0.09808685040591987,0.19357981626074683,-1.1026651069455478,14.75
141,BISC-P12a,42.166666666666664,Perciformes,Pomacentridae,cocoa damselfish,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,12.5,neutral,0,omnivore,compressiform,2014-09-16,78.53981634,15,0.01273239544731026,2014-09-16,14.5,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,42.166666666666664,Perciformes,Acanthuridae,blue tang,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,36,colourful,0,herbivore,compressiform,2014-09-16,78.53981634,15,0.01273239544731026,2014-09-16,14.5,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,42.166666666666664,Perciformes,Haemulidae,bluestriped grunt,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,schooling,46,colourful,0,invertivore,fusiform,2014-09-16,78.53981634,15,0.01273239544731026,2014-09-16,14.5,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,42.166666666666664,Perciformes,Serranidae,butter hamlet,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,solitary,13,neutral,1,carnivore,compressiform,2014-09-16,78.53981634,15,0.01273239544731026,2014-09-16,14.5,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
